Time,Latitude,Longitude,Altitude,AltitudeDiff,Distance,Speed,Grade,HeartRate,Acceleration,HeartRate1min,HeartRate5min,HeartRate10min
2017-04-23T21:00:10Z,30.3126970,-97.7325670,196.0,0.0,3.6,0.0,0,75,0,75,75,75
2017-04-23T21:00:11Z,30.3126600,-97.7325650,196.0,0.0,7.4,0.0,0,75,0,75,75,75
2017-04-23T21:00:12Z,30.3126120,-97.7325760,196.0,0.0,11.3,14.04,0,75,0,75,75,75
2017-04-23T21:00:13Z,30.3125630,-97.7325820,196.0,0.0,16.1,15.120000000000001,0,75,0,75,75,75
2017-04-23T21:00:14Z,30.3125130,-97.7325870,195.8,0.0,21.3,15.840000000000002,0,75,0,75,75,75
2017-04-23T21:00:15Z,30.3124580,-97.7325900,195.8,0.0,26.5,16.56,0,75,0,75,75,75
2017-04-23T21:00:16Z,30.3123990,-97.7325970,195.8,0.0,32.4,18.0,0,77,0,77,77,77
2017-04-23T21:00:17Z,30.3123430,-97.7326040,195.8,0.0,38.6,19.8,0,79,0,79,79,79
2017-04-23T21:00:18Z,30.3122760,-97.7326110,195.8,0.0,45.1,20.88,0,83,0,83,83,83
2017-04-23T21:00:19Z,30.3122120,-97.7326170,195.6,0.0,51.6,21.96,0,84,0,84,84,84
2017-04-23T21:00:20Z,30.3121530,-97.7326250,195.4,0.0,58.4,23.040000000000003,0,84,0,84,84,84
2017-04-23T21:00:21Z,30.3120840,-97.7326340,195.4,0.0,65.3,23.759999999999998,0,84,0,84,84,84
2017-04-23T21:00:22Z,30.3120220,-97.7326430,195.4,0.0,72.3,24.12,0,86,0,86,86,86
2017-04-23T21:00:23Z,30.3119560,-97.7326560,195.6,0.0,79.5,24.840000000000003,0,86,0,86,86,86
2017-04-23T21:00:24Z,30.3118880,-97.7326710,195.6,0.0,86.6,25.2,0,86,0,86,86,86
2017-04-23T21:00:25Z,30.3118250,-97.7326820,195.8,0.0,94.0,25.56,0,86,0,86,86,86
2017-04-23T21:00:26Z,30.3117530,-97.7326980,196.0,0.0,101.4,25.92,0,86,0,86,86,86
2017-04-23T21:00:27Z,30.3116830,-97.7327160,196.0,0.0,108.9,26.28,0,87,0,87,87,87
2017-04-23T21:00:28Z,30.3116090,-97.7327340,196.2,0.0,116.4,26.64,0,89,0,89,89,89
2017-04-23T21:00:29Z,30.3115560,-97.7327420,196.2,0.0,123.9,27.0,0,89,0,89,89,89
2017-04-23T21:00:30Z,30.3114660,-97.7327650,196.2,0.0,131.4,27.0,0,89,0,89,89,89
2017-04-23T21:00:31Z,30.3114010,-97.7327860,196.2,0.0,137.7,26.28,0,90,0,90,90,90
2017-04-23T21:00:32Z,30.3113500,-97.7328050,196.0,0.0,143.5,24.840000000000003,0,89,0,89,89,89
2017-04-23T21:00:33Z,30.3112980,-97.7328250,195.8,0.0,148.8,23.400000000000002,0,89,0,89,89,89
2017-04-23T21:00:34Z,30.3112550,-97.7328430,195.6,0.0,153.6,21.240000000000002,0,89,0,89,89,89
2017-04-23T21:00:35Z,30.3112220,-97.7328580,195.4,0.0,158.0,19.08,0,89,0,89,89,89
2017-04-23T21:00:36Z,30.3111820,-97.7328750,195.0,0.0,162.1,17.64,0,89,0,89,89,89
2017-04-23T21:00:37Z,30.3111500,-97.7328910,194.8,0.0,165.8,16.2,0,89,0,89,89,89
2017-04-23T21:00:38Z,30.3111210,-97.7329060,194.6,0.0,169.2,14.76,0,89,0,89,89,89
2017-04-23T21:00:39Z,30.3110970,-97.7329190,194.2,0.0,171.9,13.32,0,89,0,89,89,89
2017-04-23T21:00:40Z,30.3110790,-97.7329290,194.4,0.0,174.5,11.879999999999999,0,89,0,89,89,89
2017-04-23T21:00:41Z,30.3110640,-97.7329380,194.0,0.0,176.3,10.08,0,89,0,89,89,89
2017-04-23T21:00:42Z,30.3110540,-97.7329420,194.0,0.0,178.1,9.0,0,89,0,89,89,89
2017-04-23T21:00:43Z,30.3110530,-97.7329420,194.0,0.0,178.1,6.48,0,88,0,88,88,88
2017-04-23T21:01:48Z,30.3109450,-97.7329730,193.8,0.0,178.1,0.0,0,74,0,74,74,74
2017-04-23T21:01:49Z,30.3109190,-97.7329860,193.8,0.0,181.5,0.36000000000000004,0,74,0,74,74,74
2017-04-23T21:01:50Z,30.3108840,-97.7330070,193.8,0.0,185.5,0.36000000000000004,0,74,0,74,74,74
2017-04-23T21:01:51Z,30.3108450,-97.7330320,194.0,0.0,189.9,0.7200000000000001,0,74,0,74,74,74
2017-04-23T21:01:52Z,30.3108060,-97.7330520,194.0,0.0,194.6,0.7200000000000001,0,74,0,74,74,74
2017-04-23T21:01:53Z,30.3107720,-97.7330660,194.0,0.0,199.5,0.7200000000000001,0,75,0,75,75,75
2017-04-23T21:01:54Z,30.3107210,-97.7330930,194.2,0.0,204.7,0.7200000000000001,0,77,0,77,77,77
2017-04-23T21:01:55Z,30.3106840,-97.7331180,194.6,0.0,210.0,17.64,0,79,0,79,79,79
2017-04-23T21:01:56Z,30.3106350,-97.7331490,194.8,0.0,215.5,18.36,0,80,0,80,80,80
2017-04-23T21:01:57Z,30.3105890,-97.7331780,195.0,0.0,221.3,19.08,0,82,0,82,82,82
2017-04-23T21:01:58Z,30.3105420,-97.7332090,195.0,0.0,227.3,20.16,0,83,0,83,83,83
2017-04-23T21:01:59Z,30.3104980,-97.7332360,195.0,0.0,233.5,20.88,0,85,0,85,85,85
2017-04-23T21:02:00Z,30.3104470,-97.7332690,194.8,0.0,239.8,21.6,0,85,0,85,85,85
2017-04-23T21:02:01Z,30.3103910,-97.7333050,194.8,0.0,246.2,21.96,0,86,0,86,86,86
2017-04-23T21:02:02Z,30.3103440,-97.7333370,194.6,0.0,252.8,22.68,0,87,0,87,87,87
2017-04-23T21:02:03Z,30.3102880,-97.7333750,194.2,0.0,259.5,23.040000000000003,0,88,0,88,88,88
2017-04-23T21:02:04Z,30.3102320,-97.7334090,194.0,0.0,266.5,23.759999999999998,0,89,0,89,89,89
2017-04-23T21:02:05Z,30.3101850,-97.7334390,193.6,0.0,273.5,24.12,0,89,0,89,89,89
2017-04-23T21:02:06Z,30.3101210,-97.7334810,193.4,0.0,280.6,24.840000000000003,0,90,0,90,90,90
2017-04-23T21:02:07Z,30.3100620,-97.7335200,193.4,0.0,288.0,25.2,0,91,0,91,91,91
2017-04-23T21:02:08Z,30.3100030,-97.7335570,193.2,0.0,295.4,25.92,0,91,0,91,91,91
2017-04-23T21:02:09Z,30.3099420,-97.7335950,192.8,0.0,303.1,26.28,0,92,0,92,92,92
2017-04-23T21:02:10Z,30.3099200,-97.7336110,192.8,0.0,310.9,27.0,0,93,0,93,93,93
2017-04-23T21:02:11Z,30.3098330,-97.7336690,192.8,0.0,318.9,27.720000000000002,0,93,0,93,93,93
2017-04-23T21:02:12Z,30.3097550,-97.7337220,192.8,0.0,327.1,28.08,0,94,0,94,94,94
2017-04-23T21:02:13Z,30.3096880,-97.7337640,192.8,0.0,335.3,28.8,0,95,0,95,95,95
2017-04-23T21:02:14Z,30.3096230,-97.7338070,192.8,0.0,343.6,29.16,0,95,0,95,95,95
2017-04-23T21:02:15Z,30.3095650,-97.7338460,192.8,0.0,352.0,29.52,0,95,0,169.81,95,95
2017-04-23T21:02:16Z,30.3094900,-97.7338930,192.8,0.0,360.6,29.880000000000003,0,95,0,175.55333333333334,95,95
2017-04-23T21:02:17Z,30.3094300,-97.7339310,192.8,0.0,369.1,30.240000000000002,0,94,0,181.37500000000003,94,94
2017-04-23T21:02:18Z,30.3093560,-97.7339800,192.8,0.0,377.6,30.6,0,95,0,187.25833333333335,95,95
2017-04-23T21:02:19Z,30.3092870,-97.7340260,192.8,0.0,386.3,30.6,0,95,0,193.1966666666667,95,95
2017-04-23T21:02:20Z,30.3092260,-97.7340650,192.6,0.0,394.9,30.96,0,95,0,199.19333333333333,95,95
2017-04-23T21:02:21Z,30.3091510,-97.7341150,192.6,0.0,403.7,30.96,0,96,0,205.235,96,96
2017-04-23T21:02:22Z,30.3090800,-97.7341610,192.8,0.0,412.6,31.319999999999997,0,96,0,211.32000000000002,96,96
2017-04-23T21:02:23Z,30.3090160,-97.7342010,193.2,0.0,421.5,31.680000000000003,0,96,0,217.44500000000002,96,96
2017-04-23T21:02:24Z,30.3089410,-97.7342490,193.2,0.0,430.5,31.680000000000003,0,96,0,223.61,96,96
2017-04-23T21:02:25Z,30.3088730,-97.7342920,193.2,0.0,439.6,32.04,0,97,0,229.81166666666667,97,97
2017-04-23T21:02:26Z,30.3087970,-97.7343400,193.2,0.0,448.8,32.4,0,97,0,236.05000000000004,97,97
2017-04-23T21:02:27Z,30.3087210,-97.7343910,193.2,0.0,457.9,32.76,0,97,0,242.32500000000002,97,97
2017-04-23T21:02:28Z,30.3086490,-97.7344390,193.2,0.0,467.1,32.76,0,98,0,248.6316666666667,98,98
2017-04-23T21:02:29Z,30.3085830,-97.7344800,193.2,0.0,476.4,33.12,0,98,0,254.97333333333336,98,98
