Time,Latitude,Longitude,Altitude,AltitudeDiff,Distance,Speed,Grade,HeartRate,Acceleration,HeartRate1min,HeartRate5min,HeartRate10min
2016-07-15T00:19:20Z,30.3154310,-97.7361060,203.8,0.0,5.0,0.0,0,129,0,129,129,129
2016-07-15T00:19:21Z,30.3154050,-97.7361530,203.8,0.0,10.1,0.0,0,130,0,130,130,130
2016-07-15T00:19:22Z,30.3153790,-97.7361960,204.0,0.0,15.2,0.0,0,131,0,131,131,131
2016-07-15T00:19:23Z,30.3153490,-97.7362340,204.0,0.0,20.3,18.36,0,130,0,130,130,130
2016-07-15T00:19:24Z,30.3153220,-97.7362670,204.2,0.0,25.3,18.36,0,130,0,130,130,130
2016-07-15T00:19:25Z,30.3152860,-97.7363050,204.0,0.0,30.1,18.0,0,130,0,130,130,130
2016-07-15T00:19:26Z,30.3152610,-97.7363390,204.0,0.0,34.9,18.0,0,129,0,129,129,129
2016-07-15T00:19:27Z,30.3152330,-97.7363760,204.0,0.0,39.5,17.64,0,129,0,129,129,129
2016-07-15T00:19:28Z,30.3152080,-97.7364140,204.0,0.0,44.0,16.92,0,129,0,129,129,129
2016-07-15T00:19:29Z,30.3152000,-97.7364570,204.0,0.0,48.4,16.56,0,129,0,129,129,129
2016-07-15T00:19:30Z,30.3152130,-97.7365040,204.0,0.0,52.9,16.56,0,129,0,129,129,129
2016-07-15T00:19:31Z,30.3152480,-97.7365300,204.0,0.0,57.2,16.2,0,129,0,129,129,129
2016-07-15T00:19:32Z,30.3152880,-97.7365340,204.0,0.0,61.7,15.840000000000002,0,128,0,128,128,128
2016-07-15T00:19:33Z,30.3153370,-97.7365240,204.0,0.0,66.5,16.2,0,127,0,127,127,127
2016-07-15T00:19:34Z,30.3153750,-97.7364990,204.2,0.0,71.4,16.56,0,127,0,127,127,127
2016-07-15T00:19:35Z,30.3154170,-97.7364730,204.0,0.0,76.3,16.92,0,126,0,126,126,126
2016-07-15T00:19:36Z,30.3154560,-97.7364520,204.2,0.0,81.2,17.28,0,126,0,126,126,126
2016-07-15T00:19:37Z,30.3154920,-97.7364280,204.0,0.0,85.9,17.28,0,126,0,126,126,126
2016-07-15T00:19:38Z,30.3155020,-97.7364200,204.0,0.0,90.5,17.28,0,126,0,126,126,126
2016-07-15T00:19:39Z,30.3155580,-97.7363840,204.0,0.0,95.1,16.92,0,125,0,125,125,125
2016-07-15T00:19:40Z,30.3155990,-97.7363560,204.0,0.0,99.7,16.92,0,126,0,126,126,126
2016-07-15T00:19:41Z,30.3156360,-97.7363320,203.8,0.0,104.4,16.56,0,125,0,125,125,125
2016-07-15T00:19:42Z,30.3156680,-97.7363130,204.0,0.0,109.0,16.56,0,125,0,125,125,125
2016-07-15T00:19:43Z,30.3157030,-97.7362880,204.0,0.0,113.4,16.56,0,124,0,124,124,124
2016-07-15T00:19:44Z,30.3157290,-97.7362670,204.0,0.0,117.5,16.2,0,123,0,123,123,123
2016-07-15T00:19:45Z,30.3157600,-97.7362430,204.0,0.0,121.4,15.48,0,122,0,122,122,122
2016-07-15T00:19:46Z,30.3157880,-97.7362220,204.2,0.0,125.2,15.120000000000001,0,122,0,122,122,122
2016-07-15T00:19:47Z,30.3158150,-97.7362030,204.2,0.0,128.9,14.4,0,122,0,122,122,122
2016-07-15T00:19:48Z,30.3158480,-97.7361840,204.4,0.0,132.6,13.68,0,121,0,121,121,121
2016-07-15T00:19:49Z,30.3158770,-97.7361640,204.4,0.0,136.5,13.68,0,121,0,121,121,121
2016-07-15T00:19:50Z,30.3159030,-97.7361470,204.6,0.0,140.6,13.68,0,121,0,121,121,121
2016-07-15T00:19:51Z,30.3159430,-97.7361180,204.6,0.0,144.6,14.04,0,120,0,120,120,120
2016-07-15T00:19:52Z,30.3159720,-97.7360970,204.6,0.0,148.8,14.4,0,119,0,119,119,119
2016-07-15T00:19:53Z,30.3160060,-97.7360730,204.6,0.0,152.9,14.76,0,119,0,119,119,119
2016-07-15T00:19:54Z,30.3160360,-97.7360550,204.6,0.0,156.9,14.76,0,119,0,119,119,119
2016-07-15T00:19:55Z,30.3160680,-97.7360370,204.6,0.0,160.8,14.4,0,118,0,118,118,118
2016-07-15T00:19:56Z,30.3160950,-97.7360180,204.8,0.0,164.5,14.4,0,118,0,118,118,118
2016-07-15T00:19:57Z,30.3161250,-97.7359950,204.8,0.0,168.3,14.04,0,119,0,119,119,119
2016-07-15T00:19:58Z,30.3161580,-97.7359710,204.8,0.0,172.2,14.04,0,119,0,119,119,119
2016-07-15T00:19:59Z,30.3161900,-97.7359520,204.8,0.0,176.0,13.68,0,118,0,118,118,118
2016-07-15T00:20:00Z,30.3162270,-97.7359310,204.8,0.0,180.3,14.04,0,118,0,118,118,118
2016-07-15T00:20:01Z,30.3162620,-97.7359090,204.8,0.0,184.6,14.4,0,117,0,117,117,117
2016-07-15T00:20:02Z,30.3162690,-97.7359030,204.8,0.0,188.9,14.76,0,117,0,117,117,117
2016-07-15T00:20:03Z,30.3163140,-97.7358700,204.8,0.0,192.7,14.76,0,117,0,117,117,117
2016-07-15T00:20:04Z,30.3163450,-97.7358490,204.6,0.0,196.4,14.76,0,116,0,116,116,116
2016-07-15T00:20:05Z,30.3163760,-97.7358290,204.6,0.0,200.0,14.04,0,116,0,116,116,116
2016-07-15T00:20:06Z,30.3164040,-97.7358080,204.6,0.0,203.6,13.68,0,116,0,116,116,116
2016-07-15T00:20:07Z,30.3164300,-97.7357890,204.6,0.0,207.3,13.32,0,117,0,117,117,117
2016-07-15T00:20:08Z,30.3164450,-97.7357790,204.6,0.0,210.6,12.96,0,117,0,117,117,117
2016-07-15T00:20:09Z,30.3164800,-97.7357550,204.6,0.0,213.9,12.6,0,118,0,118,118,118
2016-07-15T00:20:10Z,30.3165100,-97.7357320,204.8,0.0,217.5,12.6,0,118,0,118,118,118
2016-07-15T00:20:11Z,30.3165430,-97.7357120,205.0,0.0,221.5,12.96,0,118,0,118,118,118
2016-07-15T00:20:12Z,30.3165750,-97.7356920,205.0,0.0,225.6,13.32,0,118,0,118,118,118
2016-07-15T00:20:13Z,30.3166120,-97.7356670,205.2,0.0,230.0,14.04,0,118,0,118,118,118
2016-07-15T00:20:14Z,30.3166420,-97.7356440,205.2,0.0,234.5,14.76,0,118,0,118,118,118
2016-07-15T00:20:15Z,30.3166800,-97.7356170,205.2,0.0,239.0,15.48,0,118,0,118,118,118
2016-07-15T00:20:16Z,30.3167180,-97.7356000,205.0,0.0,243.5,15.840000000000002,0,119,0,119,119,119
2016-07-15T00:20:17Z,30.3167520,-97.7355810,205.0,0.0,247.9,16.2,0,120,0,120,120,120
2016-07-15T00:20:18Z,30.3167900,-97.7355580,204.8,0.0,252.4,16.2,0,120,0,120,120,120
2016-07-15T00:20:19Z,30.3168240,-97.7355360,204.6,0.0,257.0,16.2,0,120,0,120,120,120
2016-07-15T00:20:20Z,30.3168600,-97.7355140,204.6,0.0,261.6,16.2,0,120,0,120,120,120
2016-07-15T00:20:21Z,30.3169000,-97.7354910,204.6,0.0,266.2,16.2,0,119,0,139.825,119,119
2016-07-15T00:20:22Z,30.3169310,-97.7354710,204.4,0.0,270.5,16.2,0,119,0,144.09333333333333,119,119
2016-07-15T00:20:23Z,30.3169710,-97.7354480,204.4,0.0,275.1,16.2,0,118,0,148.34833333333336,118,118
2016-07-15T00:20:24Z,30.3170040,-97.7354270,204.4,0.0,279.6,16.2,0,118,0,152.595,118,118
2016-07-15T00:20:25Z,30.3170400,-97.7354040,204.4,0.0,284.0,16.2,0,117,0,156.83333333333337,117,117
2016-07-15T00:20:26Z,30.3170720,-97.7353860,204.4,0.0,288.2,15.840000000000002,0,117,0,161.06500000000003,117,117
2016-07-15T00:20:27Z,30.3171060,-97.7353660,204.6,0.0,292.4,15.840000000000002,0,116,0,165.28666666666672,116,116
2016-07-15T00:20:28Z,30.3171410,-97.7353410,204.6,0.0,296.7,15.48,0,116,0,169.5016666666667,116,116
2016-07-15T00:20:29Z,30.3171720,-97.7353210,204.8,0.0,301.0,15.48,0,117,0,173.7133333333334,117,117
2016-07-15T00:20:30Z,30.3172070,-97.7352970,204.8,0.0,305.1,15.120000000000001,0,117,0,177.92333333333337,117,117
2016-07-15T00:20:31Z,30.3172360,-97.7352740,205.0,0.0,309.3,15.120000000000001,0,117,0,182.12666666666672,117,117
2016-07-15T00:20:32Z,30.3172460,-97.7352680,205.0,0.0,313.4,15.120000000000001,0,117,0,186.32833333333338,117,117
2016-07-15T00:20:33Z,30.3172960,-97.7352380,205.0,0.0,317.4,14.76,0,116,0,190.52333333333337,116,116
2016-07-15T00:20:34Z,30.3173310,-97.7352170,204.8,0.0,321.5,14.76,0,115,0,194.705,115,115
2016-07-15T00:20:35Z,30.3173630,-97.7351980,204.8,0.0,325.4,14.76,0,113,0,198.87333333333336,113,113
2016-07-15T00:20:36Z,30.3173630,-97.7351980,204.6,0.0,329.4,14.4,0,113,0,203.02500000000003,113,113
2016-07-15T00:20:37Z,30.3174280,-97.7351570,204.4,0.0,333.4,14.4,0,113,0,207.1616666666667,113,113
2016-07-15T00:20:38Z,30.3174560,-97.7351370,204.4,0.0,337.3,14.4,0,113,0,211.2866666666667,113,113
2016-07-15T00:20:39Z,30.3174880,-97.7351190,204.4,0.0,341.3,14.4,0,113,0,215.39999999999998,113,113
2016-07-15T00:20:40Z,30.3175190,-97.7351010,204.4,0.0,345.1,14.04,0,112,0,219.50333333333327,112,112
2016-07-15T00:20:41Z,30.3175500,-97.7350860,204.4,0.0,348.9,14.04,0,112,0,223.5933333333333,112,112
2016-07-15T00:20:42Z,30.3175800,-97.7350670,204.4,0.0,352.7,14.04,0,113,0,227.66833333333327,113,113
2016-07-15T00:20:43Z,30.3176150,-97.7350480,204.4,0.0,356.8,14.04,0,114,0,231.72999999999996,114,114
2016-07-15T00:20:44Z,30.3176460,-97.7350310,204.4,0.0,361.1,14.4,0,115,0,235.78666666666666,115,115
2016-07-15T00:20:45Z,30.3176860,-97.7350080,204.4,0.0,365.5,14.76,0,115,0,239.84666666666666,115,115
2016-07-15T00:20:46Z,30.3177200,-97.7349870,204.4,0.0,369.7,15.120000000000001,0,115,0,243.91499999999996,115,115
2016-07-15T00:20:47Z,30.3177540,-97.7349660,204.4,0.0,373.7,15.120000000000001,0,113,0,247.98999999999995,113,113
2016-07-15T00:20:48Z,30.3177760,-97.7349490,204.6,0.0,377.3,14.76,0,112,0,252.07,112,112
2016-07-15T00:20:49Z,30.3178040,-97.7349460,204.8,0.0,380.8,14.04,0,111,0,256.1483333333333,111,111
2016-07-15T00:20:50Z,30.3178400,-97.7349480,204.8,0.0,384.7,13.68,0,112,0,260.21999999999997,112,112
2016-07-15T00:20:51Z,30.3178790,-97.7349590,205.0,0.0,389.0,14.04,0,113,0,264.2883333333333,113,113
2016-07-15T00:20:52Z,30.3179150,-97.7349820,205.0,0.0,393.5,14.4,0,113,0,268.3616666666666,113,113
2016-07-15T00:20:53Z,30.3179500,-97.7350110,204.8,0.0,398.0,14.76,0,114,0,272.43999999999994,114,114
2016-07-15T00:20:54Z,30.3179750,-97.7350460,204.6,0.0,402.7,15.840000000000002,0,114,0,276.5249999999999,114,114
2016-07-15T00:20:55Z,30.3179970,-97.7350920,204.4,0.0,407.4,16.2,0,116,0,280.62166666666667,116,116
2016-07-15T00:20:56Z,30.3180150,-97.7351330,204.4,0.0,412.1,16.56,0,117,0,284.7316666666666,117,117
2016-07-15T00:20:57Z,30.3180370,-97.7351750,204.2,0.0,416.7,16.56,0,120,0,288.8583333333333,120,120
2016-07-15T00:20:58Z,30.3180610,-97.7352160,204.4,0.0,421.3,16.92,0,120,0,292.9983333333333,120,120
2016-07-15T00:20:59Z,30.3180790,-97.7352550,204.4,0.0,425.8,16.56,0,121,0,297.15,121,121
2016-07-15T00:21:00Z,30.3181000,-97.7352960,204.6,0.0,430.2,16.56,0,120,0,301.31333333333333,120,120
2016-07-15T00:21:01Z,30.3181170,-97.7353370,204.6,0.0,434.6,16.2,0,119,0,305.4783333333333,119,119
2016-07-15T00:21:02Z,30.3181310,-97.7353760,204.6,0.0,438.9,15.840000000000002,0,119,0,309.6449999999999,119,119
2016-07-15T00:21:03Z,30.3181520,-97.7354200,204.8,0.0,443.4,15.840000000000002,0,119,0,313.8116666666666,119,119
2016-07-15T00:21:04Z,30.3181750,-97.7354550,204.8,0.0,447.9,15.840000000000002,0,119,0,317.99,119,119
2016-07-15T00:21:05Z,30.3182020,-97.7354930,204.8,0.0,452.4,15.840000000000002,0,119,0,322.18166666666673,119,119
2016-07-15T00:21:06Z,30.3182260,-97.7355320,204.8,0.0,457.0,16.2,0,120,0,326.3883333333334,120,120
2016-07-15T00:21:07Z,30.3182500,-97.7355690,205.0,0.0,461.6,16.2,0,120,0,330.61166666666674,120,120
2016-07-15T00:21:08Z,30.3182690,-97.7356110,205.0,0.0,466.3,16.56,0,121,0,334.8500000000001,121,121
2016-07-15T00:21:09Z,30.3182880,-97.7356570,205.2,0.0,471.1,16.56,0,122,0,339.1116666666667,122,122
2016-07-15T00:21:10Z,30.3183090,-97.7357060,205.2,0.0,476.0,16.92,0,122,0,343.3983333333333,122,122
2016-07-15T00:21:11Z,30.3183330,-97.7357510,205.2,0.0,481.0,17.28,0,122,0,347.7066666666667,122,122
