Time,Latitude,Longitude,Altitude,Distance,HeartRate,Speed
2016-12-30T18:38:20Z,30.3121690,-97.7303110,114.4,0.0,94,0.0
2016-12-30T18:38:21Z,30.3121500,-97.7302720,114.4,4.3,93,0.0
2016-12-30T18:38:22Z,30.3121310,-97.7302330,116.8,8.6,93,0.0
2016-12-30T18:38:23Z,30.3121120,-97.7301960,119.4,12.7,92,15.120000000000001
2016-12-30T18:38:24Z,30.3120950,-97.7301780,121.8,15.3,93,13.68
2016-12-30T18:38:25Z,30.3120780,-97.7301440,122.0,19.1,92,13.68
2016-12-30T18:38:26Z,30.3120620,-97.7301050,122.0,23.2,93,13.68
2016-12-30T18:38:27Z,30.3120480,-97.7300690,121.8,27.0,92,13.32
2016-12-30T18:38:28Z,30.3120360,-97.7300300,121.8,31.0,91,13.32
2016-12-30T18:38:29Z,30.3120210,-97.7300010,121.8,34.2,90,13.68
2016-12-30T18:38:30Z,30.3120050,-97.7299730,121.8,37.5,91,13.32
2016-12-30T18:38:31Z,30.3119780,-97.7299510,121.8,41.2,90,12.96
2016-12-30T18:38:32Z,30.3119470,-97.7299380,121.8,44.8,89,12.96
2016-12-30T18:38:33Z,30.3119080,-97.7299450,121.8,49.2,89,12.96
2016-12-30T18:38:34Z,30.3118810,-97.7299650,121.8,52.8,88,13.32
2016-12-30T18:38:35Z,30.3118550,-97.7299810,121.8,56.1,90,13.32
2016-12-30T18:38:36Z,30.3118200,-97.7299950,121.8,60.2,90,13.68
2016-12-30T18:38:37Z,30.3117920,-97.7300040,122.0,63.4,91,13.32
2016-12-30T18:38:38Z,30.3117550,-97.7300280,122.0,68.1,91,13.68
2016-12-30T18:38:39Z,30.3117200,-97.7300480,122.0,72.5,90,14.04
2016-12-30T18:38:40Z,30.3117000,-97.7300620,122.0,75.1,90,13.68
2016-12-30T18:38:41Z,30.3116630,-97.7300860,122.2,79.8,90,14.04
2016-12-30T18:38:42Z,30.3116340,-97.7301000,122.2,83.3,90,14.4
2016-12-30T18:38:43Z,30.3115860,-97.7301150,122.0,88.8,91,14.76
2016-12-30T18:38:44Z,30.3115530,-97.7301320,122.0,92.8,91,14.76
2016-12-30T18:38:45Z,30.3115250,-97.7301550,121.8,96.7,91,15.48
2016-12-30T18:38:46Z,30.3114970,-97.7301750,121.8,100.3,90,14.76
2016-12-30T18:38:47Z,30.3114740,-97.7301910,121.8,103.3,90,14.4
2016-12-30T18:38:48Z,30.3114420,-97.7302170,122.0,107.7,89,13.68
2016-12-30T18:38:49Z,30.3114160,-97.7302380,122.0,111.2,89,13.32
2016-12-30T18:38:50Z,30.3113860,-97.7302570,122.0,115.0,89,13.32
2016-12-30T18:38:51Z,30.3113580,-97.7302720,121.8,118.4,89,12.96
2016-12-30T18:38:52Z,30.3113300,-97.7302850,121.8,121.8,89,13.32
2016-12-30T18:38:53Z,30.3113030,-97.7302970,121.8,125.0,87,12.6
2016-12-30T18:38:54Z,30.3112760,-97.7303020,121.8,128.0,86,12.24
2016-12-30T18:38:55Z,30.3112460,-97.7303200,121.8,131.8,87,12.24
2016-12-30T18:38:56Z,30.3112200,-97.7303340,121.6,135.0,88,11.879999999999999
2016-12-30T18:38:57Z,30.3111980,-97.7303530,121.8,138.1,88,11.879999999999999
2016-12-30T18:38:58Z,30.3111760,-97.7303760,121.8,141.4,88,11.879999999999999
2016-12-30T18:38:59Z,30.3111570,-97.7303940,121.8,144.1,88,11.520000000000001
2016-12-30T18:39:00Z,30.3111240,-97.7304140,121.8,148.2,88,11.879999999999999
2016-12-30T18:39:01Z,30.3110940,-97.7304320,122.0,152.0,88,12.24
2016-12-30T18:39:02Z,30.3110590,-97.7304570,121.8,156.6,87,13.32
