Time,Latitude,Longitude,Altitude,AltitudeDiff,Distance,Speed,Grade,HeartRate,Acceleration,HeartRate1min,HeartRate5min,HeartRate10min
2016-04-10T15:27:19Z,30.2674500,-97.7492470,182.0,0.0,3.7,0.0,0,88,0,88,88,88
2016-04-10T15:27:20Z,30.2674220,-97.7492600,182.2,0.0,7.4,0.0,0,88,0,88,88,88
2016-04-10T15:27:21Z,30.2673940,-97.7492670,182.0,0.0,10.9,12.96,0,89,0,89,89,89
2016-04-10T15:27:22Z,30.2673660,-97.7492700,182.0,0.0,14.3,12.6,0,90,0,90,90,90
2016-04-10T15:27:23Z,30.2673390,-97.7492750,182.4,0.0,17.8,12.6,0,90,0,90,90,90
2016-04-10T15:27:24Z,30.2673060,-97.7492910,182.4,0.0,21.2,12.6,0,91,0,91,91,91
2016-04-10T15:27:25Z,30.2672810,-97.7493050,182.4,0.0,24.6,12.24,0,91,0,91,91,91
2016-04-10T15:27:26Z,30.2672520,-97.7493250,182.4,0.0,28.2,12.6,0,92,0,92,92,92
2016-04-10T15:27:27Z,30.2672230,-97.7493340,182.4,0.0,31.9,12.6,0,93,0,93,93,93
2016-04-10T15:27:28Z,30.2671910,-97.7493460,182.4,0.0,35.7,12.96,0,94,0,94,94,94
2016-04-10T15:27:29Z,30.2671590,-97.7493590,182.4,0.0,39.4,12.96,0,95,0,95,95,95
2016-04-10T15:27:30Z,30.2671330,-97.7493680,182.4,0.0,43.1,13.32,0,94,0,94,94,94
2016-04-10T15:27:31Z,30.2671040,-97.7493750,182.4,0.0,46.5,13.32,0,94,0,94,94,94
2016-04-10T15:27:32Z,30.2670760,-97.7493770,182.4,0.0,49.8,12.96,0,94,0,94,94,94
2016-04-10T15:27:33Z,30.2670470,-97.7493860,182.4,0.0,53.1,12.6,0,95,0,95,95,95
2016-04-10T15:27:34Z,30.2670150,-97.7493920,182.4,0.0,56.7,12.6,0,95,0,95,95,95
2016-04-10T15:27:35Z,30.2669890,-97.7493930,182.4,0.0,60.0,12.24,0,94,0,94,94,94
2016-04-10T15:27:36Z,30.2669710,-97.7493940,182.4,0.0,62.7,11.520000000000001,0,94,0,94,94,94
2016-04-10T15:27:37Z,30.2669510,-97.7493900,182.4,0.0,65.1,11.16,0,94,0,94,94,94
2016-04-10T15:27:38Z,30.2669250,-97.7493970,182.4,0.0,67.8,10.44,0,94,0,94,94,94
2016-04-10T15:27:39Z,30.2669000,-97.7494160,182.4,0.0,70.7,10.08,0,93,0,93,93,93
2016-04-10T15:27:40Z,30.2668820,-97.7494420,182.4,0.0,73.7,9.72,0,93,0,93,93,93
2016-04-10T15:27:41Z,30.2668740,-97.7494770,182.4,0.0,76.8,10.08,0,94,0,94,94,94
2016-04-10T15:27:42Z,30.2668820,-97.7495120,182.4,0.0,80.0,10.8,0,94,0,94,94,94
2016-04-10T15:27:43Z,30.2668770,-97.7495500,182.4,0.0,83.4,11.16,0,95,0,95,95,95
2016-04-10T15:27:44Z,30.2668690,-97.7495870,182.4,0.0,87.2,11.879999999999999,0,95,0,95,95,95
2016-04-10T15:27:45Z,30.2668590,-97.7496240,182.4,0.0,90.9,12.24,0,95,0,95,95,95
2016-04-10T15:27:46Z,30.2668520,-97.7496610,182.4,0.0,94.8,12.96,0,95,0,95,95,95
2016-04-10T15:27:47Z,30.2668500,-97.7496980,182.4,0.0,98.6,13.32,0,95,0,95,95,95
2016-04-10T15:27:48Z,30.2668520,-97.7497300,182.4,0.0,102.4,13.68,0,94,0,94,94,94
2016-04-10T15:27:49Z,30.2668480,-97.7497620,182.4,0.0,106.3,13.68,0,94,0,94,94,94
2016-04-10T15:27:50Z,30.2668490,-97.7498040,182.4,0.0,110.3,14.04,0,93,0,93,93,93
2016-04-10T15:27:51Z,30.2668650,-97.7498530,182.4,0.0,114.1,14.04,0,93,0,93,93,93
2016-04-10T15:27:52Z,30.2668760,-97.7498940,182.4,0.0,117.7,13.68,0,93,0,93,93,93
2016-04-10T15:27:53Z,30.2668930,-97.7499400,182.4,0.0,121.4,13.68,0,92,0,92,92,92
2016-04-10T15:27:54Z,30.2669070,-97.7499840,182.4,0.0,124.7,13.32,0,92,0,92,92,92
2016-04-10T15:27:55Z,30.2669270,-97.7500250,182.4,0.0,128.4,12.96,0,90,0,90,90,90
2016-04-10T15:27:56Z,30.2669510,-97.7500690,182.4,0.0,132.1,12.96,0,89,0,89,89,89
2016-04-10T15:27:57Z,30.2669710,-97.7501050,182.4,0.0,136.0,13.32,0,89,0,89,89,89
2016-04-10T15:27:58Z,30.2669960,-97.7501430,182.4,0.0,139.7,13.32,0,88,0,88,88,88
