Time,Latitude,Longitude,Altitude,AltitudeDiff,Distance,Speed,Grade,HeartRate,Acceleration,HeartRate1min,HeartRate5min,HeartRate10min
2017-01-01T21:39:25Z,30.3137940,-97.7326220,158.0,0.0,3.6,0.0,0,90,0,90,90,90
2017-01-01T21:39:26Z,30.3137690,-97.7326250,158.0,0.0,7.3,0.0,0,90,0,90,90,90
2017-01-01T21:39:27Z,30.3137340,-97.7326390,158.0,0.0,11.0,13.32,0,90,0,90,90,90
2017-01-01T21:39:28Z,30.3136990,-97.7326390,157.8,0.0,14.7,13.32,0,90,0,90,90,90
2017-01-01T21:39:29Z,30.3136570,-97.7326310,157.8,0.0,18.6,13.68,0,90,0,90,90,90
2017-01-01T21:39:30Z,30.3136240,-97.7326160,158.8,0.0,22.3,13.32,0,89,0,89,89,89
2017-01-01T21:39:31Z,30.3135950,-97.7325960,158.6,0.0,25.6,13.32,0,89,0,89,89,89
2017-01-01T21:39:32Z,30.3135710,-97.7325750,158.6,0.0,28.8,12.96,0,88,0,88,88,88
2017-01-01T21:39:33Z,30.3135390,-97.7325530,158.6,0.0,32.3,12.6,0,86,0,86,86,86
2017-01-01T21:39:34Z,30.3135070,-97.7325400,158.6,0.0,36.0,12.6,0,86,0,86,86,86
2017-01-01T21:39:35Z,30.3134730,-97.7325310,158.4,0.0,39.4,12.24,0,86,0,86,86,86
2017-01-01T21:39:36Z,30.3134360,-97.7325300,158.4,0.0,43.3,12.6,0,87,0,87,87,87
2017-01-01T21:39:37Z,30.3133960,-97.7325310,158.6,0.0,47.6,13.68,0,88,0,88,88,88
2017-01-01T21:39:38Z,30.3133490,-97.7325350,158.4,0.0,52.2,14.4,0,88,0,88,88,88
2017-01-01T21:39:39Z,30.3133000,-97.7325390,158.0,0.0,57.3,15.48,0,88,0,88,88,88
2017-01-01T21:39:40Z,30.3132510,-97.7325470,158.2,0.0,62.6,16.56,0,90,0,90,90,90
2017-01-01T21:39:41Z,30.3131940,-97.7325550,158.0,0.0,68.2,18.0,0,91,0,91,91,91
2017-01-01T21:39:42Z,30.3131450,-97.7325610,157.8,0.0,74.2,19.08,0,93,0,93,93,93
2017-01-01T21:39:43Z,30.3130810,-97.7325690,157.6,0.0,80.3,20.16,0,94,0,94,94,94
2017-01-01T21:39:44Z,30.3130220,-97.7325760,157.8,0.0,86.7,21.240000000000002,0,95,0,95,95,95
2017-01-01T21:39:45Z,30.3129660,-97.7325840,157.6,0.0,92.9,21.96,0,95,0,95,95,95
2017-01-01T21:39:46Z,30.3129090,-97.7325920,157.4,0.0,99.2,22.32,0,95,0,95,95,95
2017-01-01T21:39:47Z,30.3128420,-97.7326020,157.4,0.0,105.7,22.68,0,96,0,96,96,96
2017-01-01T21:39:48Z,30.3127770,-97.7326110,157.4,0.0,112.3,23.040000000000003,0,96,0,96,96,96
2017-01-01T21:39:49Z,30.3127160,-97.7326220,157.6,0.0,119.2,23.400000000000002,0,96,0,96,96,96
2017-01-01T21:39:50Z,30.3126510,-97.7326300,157.6,0.0,126.1,23.759999999999998,0,96,0,96,96,96
2017-01-01T21:39:51Z,30.3125830,-97.7326390,157.8,0.0,133.2,24.48,0,96,0,96,96,96
2017-01-01T21:39:52Z,30.3125260,-97.7326500,157.8,0.0,140.4,24.840000000000003,0,96,0,96,96,96
2017-01-01T21:39:53Z,30.3124480,-97.7326640,158.0,0.0,147.7,25.56,0,96,0,96,96,96
2017-01-01T21:39:54Z,30.3123770,-97.7326770,157.8,0.0,155.0,25.92,0,96,0,96,96,96
2017-01-01T21:39:55Z,30.3123060,-97.7326890,157.6,0.0,162.3,25.92,0,97,0,97,97,97
2017-01-01T21:39:56Z,30.3122400,-97.7327040,157.6,0.0,169.4,25.92,0,97,0,97,97,97
2017-01-01T21:39:57Z,30.3121750,-97.7327200,157.6,0.0,176.8,26.28,0,97,0,97,97,97
2017-01-01T21:39:58Z,30.3121100,-97.7327370,157.6,0.0,184.2,26.28,0,97,0,97,97,97
2017-01-01T21:39:59Z,30.3120270,-97.7327530,157.4,0.0,191.7,26.28,0,97,0,97,97,97
2017-01-01T21:40:00Z,30.3119000,-97.7327820,157.2,0.0,199.3,26.64,0,97,0,97,97,97
2017-01-01T21:40:01Z,30.3118040,-97.7328060,156.6,0.0,207.1,27.0,0,98,0,98,98,98
2017-01-01T21:40:02Z,30.3117130,-97.7328270,156.2,0.0,214.9,27.36,0,98,0,98,98,98
2017-01-01T21:40:03Z,30.3116110,-97.7328560,155.6,0.0,222.8,27.720000000000002,0,98,0,98,98,98
2017-01-01T21:40:04Z,30.3115240,-97.7328800,155.6,0.0,230.7,28.08,0,98,0,98,98,98
2017-01-01T21:40:05Z,30.3114340,-97.7329100,155.6,0.0,238.7,28.44,0,98,0,98,98,98
2017-01-01T21:40:06Z,30.3113490,-97.7329430,155.8,0.0,246.9,28.8,0,99,0,99,99,99
2017-01-01T21:40:07Z,30.3112700,-97.7329750,155.6,0.0,254.8,28.8,0,99,0,99,99,99
2017-01-01T21:40:08Z,30.3111860,-97.7330120,155.6,0.0,262.8,28.8,0,99,0,99,99,99
2017-01-01T21:40:09Z,30.3111070,-97.7330470,155.6,0.0,270.6,28.8,0,99,0,99,99,99
2017-01-01T21:40:10Z,30.3110380,-97.7330820,155.6,0.0,278.4,28.44,0,99,0,99,99,99
2017-01-01T21:40:11Z,30.3109620,-97.7331220,155.6,0.0,286.1,28.08,0,99,0,99,99,99
2017-01-01T21:40:12Z,30.3108990,-97.7331550,155.4,0.0,293.6,28.08,0,99,0,99,99,99
2017-01-01T21:40:13Z,30.3108240,-97.7331960,155.4,0.0,301.0,27.36,0,99,0,99,99,99
2017-01-01T21:40:14Z,30.3107570,-97.7332340,155.4,0.0,308.5,27.36,0,99,0,99,99,99
2017-01-01T21:40:15Z,30.3106900,-97.7332720,155.6,0.0,316.1,27.0,0,99,0,99,99,99
2017-01-01T21:40:16Z,30.3106430,-97.7332970,155.6,0.0,323.6,27.0,0,99,0,99,99,99
2017-01-01T21:40:17Z,30.3105640,-97.7333430,155.6,0.0,331.1,27.0,0,99,0,99,99,99
2017-01-01T21:40:18Z,30.3104930,-97.7333840,155.4,0.0,338.4,27.0,0,98,0,98,98,98
2017-01-01T21:40:19Z,30.3104300,-97.7334230,155.4,0.0,345.7,26.64,0,97,0,97,97,97
2017-01-01T21:40:20Z,30.3103680,-97.7334600,155.4,0.0,353.1,26.64,0,97,0,97,97,97
2017-01-01T21:40:21Z,30.3103040,-97.7334970,155.2,0.0,360.4,26.64,0,97,0,97,97,97
2017-01-01T21:40:22Z,30.3102460,-97.7335340,155.0,0.0,367.9,26.64,0,97,0,97,97,97
2017-01-01T21:40:23Z,30.3102440,-97.7335320,155.2,0.0,375.4,26.64,0,97,0,97,97,97
2017-01-01T21:40:24Z,30.3102440,-97.7335320,154.8,0.0,383.0,27.0,0,98,0,98,98,98
2017-01-01T21:40:25Z,30.3100480,-97.7336470,154.6,0.0,390.5,27.0,0,100,0,100,100,100
2017-01-01T21:40:26Z,30.3099840,-97.7336850,154.4,0.0,398.2,27.36,0,101,0,177.09833333333336,101,101
2017-01-01T21:40:27Z,30.3099300,-97.7337190,154.4,0.0,405.5,27.0,0,102,0,183.61333333333337,102,102
2017-01-01T21:40:28Z,30.3098650,-97.7337590,154.4,0.0,412.9,27.0,0,103,0,190.1883333333334,103,103
2017-01-01T21:40:29Z,30.3098020,-97.7337990,154.4,0.0,420.2,26.64,0,103,0,196.82500000000002,103,103
2017-01-01T21:40:30Z,30.3097430,-97.7338360,154.4,0.0,427.3,26.64,0,103,0,203.51833333333337,103,103
2017-01-01T21:40:31Z,30.3096830,-97.7338710,154.8,0.0,434.5,26.28,0,103,0,210.26833333333337,103,103
2017-01-01T21:40:32Z,30.3096280,-97.7339060,155.0,0.0,441.7,25.92,0,104,0,217.08333333333337,104,104
2017-01-01T21:40:33Z,30.3095650,-97.7339440,154.8,0.0,448.8,25.92,0,104,0,223.96500000000006,104,104
2017-01-01T21:40:34Z,30.3095090,-97.7339790,155.0,0.0,456.0,25.92,0,104,0,230.9066666666667,104,104
2017-01-01T21:40:35Z,30.3094480,-97.7340160,154.8,0.0,463.2,25.92,0,104,0,237.9066666666667,104,104
2017-01-01T21:40:36Z,30.3093890,-97.7340530,154.8,0.0,470.4,25.92,0,105,0,244.97,105,105
2017-01-01T21:40:37Z,30.3093330,-97.7340880,154.6,0.0,477.6,25.92,0,105,0,252.08833333333334,105,105
2017-01-01T21:40:38Z,30.3092700,-97.7341270,154.4,0.0,484.9,25.92,0,106,0,259.255,106,106
2017-01-01T21:40:39Z,30.3092090,-97.7341640,154.2,0.0,492.2,25.92,0,107,0,266.4666666666667,107,107
2017-01-01T21:40:40Z,30.3091690,-97.7341880,154.2,0.0,499.5,26.28,0,107,0,273.71500000000003,107,107
2017-01-01T21:40:41Z,30.3090900,-97.7342370,154.2,0.0,506.9,26.28,0,107,0,280.9966666666667,107,107
2017-01-01T21:40:42Z,30.3090340,-97.7342710,154.0,0.0,514.2,26.28,0,108,0,288.3083333333334,108,108
2017-01-01T21:40:43Z,30.3089710,-97.7343110,154.0,0.0,521.5,26.28,0,109,0,295.6416666666667,109,109
2017-01-01T21:40:44Z,30.3089120,-97.7343480,154.0,0.0,528.7,26.28,0,110,0,302.99500000000006,110,110
2017-01-01T21:40:45Z,30.3088540,-97.7343850,153.8,0.0,536.0,26.28,0,110,0,310.36166666666674,110,110
2017-01-01T21:40:46Z,30.3088000,-97.7344180,153.8,0.0,543.2,26.28,0,110,0,317.7466666666667,110,110
2017-01-01T21:40:47Z,30.3087410,-97.7344540,153.8,0.0,550.4,25.92,0,110,0,325.14666666666676,110,110
2017-01-01T21:40:48Z,30.3086790,-97.7344940,153.8,0.0,557.6,25.92,0,110,0,332.55833333333345,110,110
2017-01-01T21:40:49Z,30.3086220,-97.7345310,153.8,0.0,564.7,25.92,0,109,0,339.98000000000013,109,109
2017-01-01T21:40:50Z,30.3085650,-97.7345660,153.8,0.0,571.8,25.92,0,109,0,347.4050000000001,109,109
2017-01-01T21:40:51Z,30.3085080,-97.7346010,154.0,0.0,579.0,25.92,0,109,0,354.83333333333337,109,109
2017-01-01T21:40:52Z,30.3084520,-97.7346360,154.0,0.0,586.0,25.56,0,109,0,362.2633333333334,109,109
2017-01-01T21:40:53Z,30.3084510,-97.7346350,154.0,0.0,593.1,25.56,0,109,0,369.69,109,109
