Time,Latitude,Longitude,Altitude,AltitudeDiff,Distance,Speed,Grade,HeartRate,Acceleration,HeartRate1min,HeartRate5min,HeartRate10min
2016-07-05T03:08:22Z,30.2681900,-97.7452170,166.6,0.0,4.4,0.0,0,126,0,126,126,126
2016-07-05T03:08:23Z,30.2682370,-97.7452080,166.8,0.0,9.6,0.0,0,126,0,126,126,126
2016-07-05T03:08:24Z,30.2682790,-97.7452000,167.0,0.0,14.4,0.0,0,126,0,126,126,126
2016-07-05T03:08:25Z,30.2683220,-97.7451880,167.2,0.0,19.2,17.64,0,127,0,127,127,127
2016-07-05T03:08:26Z,30.2683640,-97.7451760,167.2,0.0,24.0,17.64,0,127,0,127,127,127
2016-07-05T03:08:27Z,30.2683960,-97.7451670,167.8,0.0,27.6,16.56,0,127,0,127,127,127
2016-07-05T03:08:28Z,30.2684280,-97.7451600,167.8,0.0,31.3,15.48,0,128,0,128,128,128
2016-07-05T03:08:29Z,30.2684480,-97.7451540,167.8,0.0,33.5,13.68,0,128,0,128,128,128
2016-07-05T03:08:30Z,30.2684620,-97.7451470,167.8,0.0,35.1,11.520000000000001,0,127,0,127,127,127
2016-07-05T03:08:31Z,30.2684670,-97.7451420,167.8,0.0,35.7,8.28,0,128,0,128,128,128
2016-07-05T03:08:32Z,30.2684670,-97.7451440,167.8,0.0,35.7,5.760000000000001,0,128,0,128,128,128
2016-07-05T03:08:33Z,30.2684790,-97.7451460,167.8,0.0,35.9,3.24,0,128,0,128,128,128
2016-07-05T03:09:04Z,30.2685960,-97.7452200,168.4,0.0,35.9,0.0,0,115,0,115,115,115
2016-07-05T03:09:05Z,30.2686100,-97.7452150,168.4,0.0,37.5,0.36000000000000004,0,117,0,117,117,117
2016-07-05T03:09:06Z,30.2686300,-97.7452100,170.2,0.0,39.7,0.36000000000000004,0,119,0,119,119,119
2016-07-05T03:09:07Z,30.2686610,-97.7452060,170.2,0.0,43.1,0.7200000000000001,0,119,0,119,119,119
2016-07-05T03:09:08Z,30.2686980,-97.7451990,170.2,0.0,47.2,1.08,0,120,0,120,120,120
2016-07-05T03:09:09Z,30.2687400,-97.7451940,170.2,0.0,52.0,1.08,0,121,0,121,121,121
2016-07-05T03:09:10Z,30.2687790,-97.7451880,170.2,0.0,56.3,13.68,0,122,0,122,122,122
2016-07-05T03:09:11Z,30.2688260,-97.7451720,168.6,0.0,61.7,15.840000000000002,0,123,0,123,123,123
2016-07-05T03:09:12Z,30.2688620,-97.7451570,168.6,0.0,65.9,16.56,0,124,0,124,124,124
2016-07-05T03:09:13Z,30.2688990,-97.7451370,168.8,0.0,70.4,16.56,0,126,0,126,126,126
