Time,Latitude,Longitude,Altitude,AltitudeDiff,Distance,Speed,Grade,HeartRate,Acceleration,HeartRate1min,HeartRate5min,HeartRate10min
2016-07-05T00:44:20Z,30.3114260,-97.7327280,176.2,0.0,6.0,0.0,0,103,0,103,103,103
2016-07-05T00:44:21Z,30.3113870,-97.7327410,176.2,0.0,10.5,0.0,0,103,0,103,103,103
2016-07-05T00:44:22Z,30.3113310,-97.7327550,176.2,0.0,16.9,0.0,0,102,0,102,102,102
2016-07-05T00:44:23Z,30.3112830,-97.7327770,176.0,0.0,22.5,19.8,0,101,0,101,101,101
2016-07-05T00:44:24Z,30.3112350,-97.7327970,176.0,0.0,28.3,20.16,0,101,0,101,101,101
2016-07-05T00:44:25Z,30.3111880,-97.7328130,175.8,0.0,33.7,19.8,0,101,0,101,101,101
2016-07-05T00:44:26Z,30.3111510,-97.7328280,176.0,0.0,38.0,19.8,0,101,0,101,101,101
2016-07-05T00:44:27Z,30.3111220,-97.7328460,175.6,0.0,41.6,17.64,0,101,0,101,101,101
2016-07-05T00:44:28Z,30.3110900,-97.7328610,175.6,0.0,45.5,16.56,0,102,0,102,102,102
2016-07-05T00:44:29Z,30.3110620,-97.7328730,175.4,0.0,48.8,14.76,0,101,0,101,101,101
2016-07-05T00:44:30Z,30.3110350,-97.7328840,175.4,0.0,52.0,13.32,0,101,0,101,101,101
2016-07-05T00:44:31Z,30.3110220,-97.7328930,175.2,0.0,53.6,11.16,0,99,0,99,99,99
2016-07-05T00:44:32Z,30.3110050,-97.7329060,175.2,0.0,55.9,10.44,0,98,0,98,98,98
2016-07-05T00:44:33Z,30.3109870,-97.7329260,175.2,0.0,58.5,9.360000000000001,0,98,0,98,98,98
2016-07-05T00:44:34Z,30.3109810,-97.7329370,175.2,0.0,59.6,7.920000000000001,0,98,0,98,98,98
2016-07-05T00:44:35Z,30.3109750,-97.7329490,175.2,0.0,60.6,6.12,0,99,0,99,99,99
2016-07-05T00:44:36Z,30.3109690,-97.7329600,175.2,0.0,61.7,5.760000000000001,0,99,0,99,99,99
2016-07-05T00:44:37Z,30.3109620,-97.7329720,175.4,0.0,62.7,5.04,0,99,0,99,99,99
2016-07-05T00:44:38Z,30.3109560,-97.7329830,175.4,0.0,63.7,3.6,0,100,0,100,100,100
2016-07-05T00:45:24Z,30.3109500,-97.7329950,175.0,0.0,64.8,0.0,0,88,0,88,88,88
2016-07-05T00:45:25Z,30.3109440,-97.7330060,175.0,0.0,65.8,0.0,0,90,0,90,90,90
2016-07-05T00:45:26Z,30.3109040,-97.7330300,175.0,0.0,70.8,0.36000000000000004,0,92,0,92,92,92
2016-07-05T00:45:27Z,30.3108630,-97.7330540,175.0,0.0,75.8,0.7200000000000001,0,94,0,94,94,94
2016-07-05T00:45:28Z,30.3108260,-97.7330720,175.0,0.0,80.3,1.08,0,96,0,96,96,96
2016-07-05T00:45:29Z,30.3107860,-97.7330900,175.0,0.0,85.0,1.08,0,97,0,97,97,97
2016-07-05T00:45:30Z,30.3107390,-97.7331120,175.0,0.0,90.7,1.08,0,98,0,98,98,98
2016-07-05T00:45:31Z,30.3107010,-97.7331350,175.0,0.0,95.5,17.64,0,100,0,100,100,100
2016-07-05T00:45:32Z,30.3106560,-97.7331650,175.0,0.0,101.3,18.36,0,100,0,100,100,100
2016-07-05T00:45:33Z,30.3106110,-97.7331930,175.0,0.0,106.9,19.08,0,101,0,101,101,101
2016-07-05T00:45:34Z,30.3105660,-97.7332220,175.0,0.0,112.6,19.8,0,102,0,102,102,102
2016-07-05T00:45:35Z,30.3105230,-97.7332480,175.0,0.0,118.0,19.8,0,102,0,102,102,102
2016-07-05T00:45:36Z,30.3104740,-97.7332830,175.0,0.0,124.4,20.88,0,102,0,102,102,102
2016-07-05T00:45:37Z,30.3104260,-97.7333170,175.0,0.0,130.6,21.240000000000002,0,103,0,103,103,103
2016-07-05T00:45:38Z,30.3103800,-97.7333480,174.8,0.0,136.5,21.240000000000002,0,104,0,104,104,104
2016-07-05T00:45:39Z,30.3103350,-97.7333790,174.8,0.0,142.3,21.240000000000002,0,104,0,104,104,104
2016-07-05T00:45:40Z,30.3102900,-97.7334080,174.6,0.0,148.0,21.6,0,104,0,104,104,104
2016-07-05T00:45:41Z,30.3102560,-97.7334310,174.6,0.0,152.4,20.16,0,104,0,104,104,104
2016-07-05T00:45:42Z,30.3102000,-97.7334680,174.4,0.0,159.6,20.88,0,105,0,105,105,105
2016-07-05T00:45:43Z,30.3101530,-97.7334970,174.6,0.0,165.5,20.88,0,105,0,105,105,105
2016-07-05T00:45:44Z,30.3101050,-97.7335280,174.4,0.0,171.5,20.88,0,106,0,106,106,106
2016-07-05T00:45:45Z,30.3100570,-97.7335600,174.4,0.0,177.7,21.240000000000002,0,107,0,107,107,107
2016-07-05T00:45:46Z,30.3100130,-97.7335880,174.4,0.0,183.3,22.32,0,108,0,108,108,108
2016-07-05T00:45:47Z,30.3099730,-97.7336140,174.4,0.0,188.4,20.88,0,109,0,109,109,109
2016-07-05T00:45:48Z,30.3099120,-97.7336510,174.2,0.0,196.0,21.96,0,110,0,110,110,110
2016-07-05T00:45:49Z,30.3098620,-97.7336830,174.4,0.0,202.3,22.32,0,111,0,111,111,111
2016-07-05T00:45:50Z,30.3098150,-97.7337130,174.2,0.0,208.4,21.96,0,112,0,112,112,112
2016-07-05T00:45:51Z,30.3097680,-97.7337440,174.2,0.0,214.4,22.32,0,112,0,112,112,112
2016-07-05T00:45:52Z,30.3097150,-97.7337770,174.2,0.0,221.0,23.400000000000002,0,112,0,112,112,112
2016-07-05T00:45:53Z,30.3096700,-97.7338070,174.2,0.0,226.7,21.96,0,112,0,112,112,112
2016-07-05T00:45:54Z,30.3096190,-97.7338410,174.4,0.0,233.3,22.32,0,112,0,112,112,112
2016-07-05T00:45:55Z,30.3095690,-97.7338720,174.2,0.0,239.6,22.32,0,112,0,112,112,112
2016-07-05T00:45:56Z,30.3095230,-97.7339020,174.2,0.0,245.4,22.32,0,112,0,112,112,112
2016-07-05T00:45:57Z,30.3094730,-97.7339350,174.2,0.0,251.9,22.32,0,113,0,113,113,113
2016-07-05T00:45:58Z,30.3094230,-97.7339670,174.2,0.0,258.1,22.68,0,113,0,113,113,113
